,Name,View count,Like count,Dislike count,Comment count,Release Date
0,6IX9INE- PUNANI (Official Music Video),38807977,1834073,152000,179176,2020-08-02T19:31:29Z
1,Billie Eilish - my future,25760103,2382149,54879,205414,2020-07-30T23:00:01Z
2,NBA YoungBoy - ALL IN,13013762,385033,11833,31885,2020-07-25T19:04:54Z
3,Mulatto - Muwop (Official Video) ft. Gucci Mane,4106272,163413,7462,7479,2020-07-30T16:00:30Z
4,"Beyoncé, Shatta Wale, Major Lazer – ALREADY (Official Video)",10129246,681103,17156,47477,2020-07-31T04:00:10Z
5,YoungBoy Never Broke Again - One Shot feat. Lil Baby [Official Music Video],3554672,119732,2660,6160,2020-07-30T00:47:27Z
6,Queen Naija - Pack Lite (Official Video),3175888,156321,2380,9183,2020-07-31T20:00:05Z
7,Taylor Swift - cardigan (Official Music Video),41762333,1631254,40838,107616,2020-07-24T04:00:09Z
8,Nessa Barrett - Pain [Official Music Video],3146375,254625,32743,48879,2020-07-31T16:00:09Z
9,NLE Choppa - Narrow Road ft. Lil Baby (Official Audio),2483163,162179,2132,12635,2020-07-30T22:04:25Z
10,"Jack Harlow - WHATS POPPIN feat. Dababy, Tory Lanez, & Lil Wayne [Official Music Video]",29188884,731493,14348,35991,2020-07-17T22:30:01Z
11,Fredo Bang - Monsters,671413,32511,732,2444,2020-07-31T16:00:10Z
12,Future & Lil Uzi Vert - Over Your Head [Official Audio],885828,69916,735,5850,2020-07-31T21:00:04Z
13,Maluma - Hawái (Official Video),14274418,529114,14844,19027,2020-07-29T13:00:08Z
14,"Pop Smoke - The Woo ft. 50 Cent, Roddy Ricch",15464230,427089,7260,20399,2020-07-20T04:00:02Z
15,Yandel x Anuel AA - Por Mi Reggae Muero 2020 (Audio Oficial),2297829,95758,2206,5783,2020-07-31T04:01:04Z
16,Shoreline Mafia - Aww Shit [Official Audio],452138,26380,136,712,2020-07-31T04:00:09Z
17,"Chris Brown, Young Thug - Go Crazy (Official Video)",21553234,686761,20542,36402,2020-07-17T16:00:11Z
18,Jacquees & Chris Brown - Put In Work (Official Music Video),4780419,173635,3930,5750,2020-07-24T04:00:01Z
19,"J. Balvin, Dua Lipa, Bad Bunny, Tainy - UN DIA (ONE DAY)",37458524,1357379,51144,59378,2020-07-24T00:00:11Z
20,Gunna - DOLLAZ ON MY HEAD (feat. Young Thug) [Official Video],2590615,107433,1642,3644,2020-07-24T14:00:12Z
21,King Von - Why He Told (Official Video),3051571,115699,1909,7208,2020-07-24T17:00:11Z
22,A$AP Ferg - Move Ya Hips feat. Nicki Minaj & MadeinTYO (Visualizer),899799,44580,1363,3877,2020-07-30T12:00:26Z
23,Harry Styles - Watermelon Sugar (Behind the Scenes),2477269,389957,1595,19697,2020-07-31T04:00:01Z
24,Lil XXEL - LMK (Official Music Video),878420,40383,745,2393,2020-07-31T18:00:28Z
25,Blake Shelton - Happy Anywhere (feat. Gwen Stefani) (Official Music Video),2872861,59192,1819,3662,2020-07-24T15:00:31Z
26,"Mozzy, Celly Ru - In My Section (Official Video) ft. Savii 3rd, $tupid Young",472621,20384,315,878,2020-07-30T23:00:01Z
27,Los Enjambres (En Vivo),365462,2258,112,46,2020-07-30T10:02:23Z
28,DOCTOR (Official Video) Sidhu Moose Wala | Kidd | Hunny Pk Films | Gold Media | New Punjabi Songs,13466327,886961,79141,1140597,2020-08-03T02:30:09Z
29,Everardo - En Tu Barrio (En Vivo) ft. Natanael Cano,791490,42143,917,1489,2020-07-29T23:00:09Z
30,The Kid LAROI - I WISH (Official Video),1405075,98935,1233,6424,2020-07-27T16:00:10Z
31,Kevin Gates - Difficult [Official Audio],1834680,59281,1123,2720,2020-07-21T17:00:06Z
32,Corey Taylor - CMFT Must Be Stopped (feat. Tech N9ne & Kid Bookie) [OFFICIAL VIDEO],1340199,62626,6055,7759,2020-07-29T13:02:10Z
33,I HAVE A SPECIAL GUEST,3212278,254385,3248,17735,2020-07-31T11:13:10Z
34,Jessi (제시) - '눈누난나 (NUNU NANA)' MV,7152483,585273,7944,28406,2020-07-30T09:00:14Z
35,"30 Deep Grimeyy Feat. Lil Baby ""Loose Screw"" (Official Video)",1497840,80520,952,3111,2020-07-24T17:00:10Z
36,(여자)아이들((G)I-DLE) - '덤디덤디 (DUMDi DUMDi)' : ONLINE MEDIA SHOWCASE Ver.,2215821,170310,3504,7252,2020-08-03T11:02:55Z
37,Farruko - La Tóxica (Official Video),16267664,406893,12250,11592,2020-07-24T04:00:09Z
38,Marilyn Manson - WE ARE CHAOS,1788538,102439,5854,14434,2020-07-29T16:00:09Z
39,Jason Derulo - Savage Love (Lyrics),576228,10601,369,393,2020-08-03T16:55:48Z
40,Sam Smith - My Oasis (feat Burna Boy) (Lyric Video) ft. Burna Boy,2298695,140811,1095,5933,2020-07-30T18:20:01Z
41,Dan + Shay - I Should Probably Go To Bed (Official Music Video),1159057,11656,352,1116,2020-07-31T17:00:13Z
42,Blueface - Respect My Cryppin’ ft. Snoop Dogg,3933480,169481,7983,12621,2020-07-24T04:00:10Z
43,NoCap - Radar [Official Music Video],1239897,36267,500,1298,2020-07-22T20:00:10Z
44,Patek,343502,6356,254,161,2020-07-31T21:04:16Z
45,Dax - Thought Those Were My Last Words (Official Music Video),880879,77626,1607,8095,2020-07-30T18:20:44Z
46,Logic - Aquarius III,1762085,118382,1858,6492,2020-07-28T16:00:15Z
47,The Weeknd - Snowchild (Official Video),7442181,392996,5992,17593,2020-07-22T16:00:05Z
48,WayV 威神V 'Bad Alive (English Ver.)' MV,3327755,576972,1977,58792,2020-07-29T15:00:31Z
49,Do It - Live at GLAAD Awards - Chloe x Halle,832822,80469,978,4027,2020-07-31T01:04:17Z
